,Channel,Counts_neutron,Counts_bkg,Counts,Energy
0,0,0,0,0,19.86363862
1,1,0,0,0,20.49474145
2,2,0,0,0,21.12584428
3,3,0,0,0,21.75694711
4,4,0,0,0,22.38804994
5,5,0,0,0,23.019152769999998
6,6,0,0,0,23.6502556
7,7,0,0,0,24.28135843
8,8,0,0,0,24.91246126
9,9,0,0,0,25.54356409
10,10,0,0,0,26.17466692
11,11,0,0,0,26.80576975
12,12,1,0,1,27.43687258
13,13,0,0,0,28.06797541
14,14,0,0,0,28.69907824
15,15,0,0,0,29.330181070000002
16,16,0,0,0,29.961283899999998
17,17,0,0,0,30.59238673
18,18,0,0,0,31.223489559999997
19,19,0,0,0,31.85459239
20,20,1,0,1,32.48569522
21,21,0,0,0,33.11679805
22,22,0,0,0,33.74790088
23,23,0,0,0,34.37900371
24,24,1,0,1,35.010106539999995
25,25,0,0,0,35.64120937
26,26,0,0,0,36.2723122
27,27,1,0,1,36.903415030000005
28,28,0,0,0,37.53451786
29,29,0,0,0,38.16562069
30,30,0,0,0,38.79672352
31,31,0,0,0,39.427826350000004
32,32,0,0,0,40.05892918
33,33,1,0,1,40.690032009999996
34,34,0,0,0,41.32113484
35,35,0,0,0,41.95223767
36,36,0,0,0,42.5833405
37,37,0,0,0,43.214443329999995
38,38,0,0,0,43.84554616
39,39,0,0,0,44.47664899
40,40,0,0,0,45.107751820000004
41,41,0,0,0,45.73885465
42,42,1,0,1,46.36995748
43,43,0,0,0,47.00106031
44,44,1,1,0,47.63216314
45,45,0,0,0,48.26326597
46,46,1,0,1,48.894368799999995
47,47,0,0,0,49.52547163
48,48,2,0,2,50.15657446
49,49,2,0,2,50.787677290000005
50,50,0,0,0,51.41878012
51,51,1,0,1,52.04988295
52,52,0,0,0,52.68098578
53,53,4,1,3,53.31208861
54,54,2,0,2,53.94319144000001
55,55,0,0,0,54.574294269999996
56,56,0,0,0,55.2053971
57,57,1,0,1,55.83649993
58,58,2,0,2,56.467602760000005
59,59,5,1,4,57.098705589999994
60,60,6,0,6,57.72980842
61,61,7,0,7,58.36091125
62,62,4,0,4,58.992014080000004
63,63,12,0,12,59.62311690999999
64,64,13,0,13,60.254219739999996
65,65,21,1,20,60.88532257
