Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,1
73,0
74,1
75,2
76,2
77,4
78,9
79,13
80,26
81,55
82,67
83,67
84,134
85,182
86,209
87,249
88,242
89,208
90,236
91,257
92,223
93,235
94,257
95,250
96,261
97,265
98,225
99,267
100,251
101,276
102,247
103,271
104,244
105,239
106,245
107,204
108,243
109,256
110,210
111,210
112,229
113,228
114,237
115,220
116,256
117,202
118,252
119,235
120,218
121,242
122,211
123,237
124,215
125,234
126,216
127,222
128,211
129,245
130,238
131,205
132,253
133,211
134,196
135,231
136,199
137,212
138,234
139,210
140,207
141,202
142,192
143,194
144,212
145,199
146,233
147,216
148,196
149,209
150,212
151,192
152,183
153,214
154,193
155,192
156,179
157,184
158,213
159,184
160,180
161,184
162,184
163,188
164,171
165,195
166,186
167,191
168,200
169,177
170,204
171,191
172,171
173,169
174,174
175,174
176,159
177,189
178,199
179,168
180,181
181,161
182,202
183,193
184,189
185,170
186,166
187,158
188,168
189,169
190,157
191,157
192,151
193,150
194,137
195,149
196,160
197,161
198,134
199,155
200,157
201,148
202,138
203,175
204,142
205,145
206,134
207,166
208,140
209,122
210,141
211,160
212,124
213,147
214,152
215,126
216,158
217,160
218,137
219,121
220,149
221,145
222,139
223,135
224,129
225,126
226,124
227,140
228,132
229,129
230,131
231,131
232,125
233,143
234,137
235,120
236,123
237,116
238,130
239,131
240,118
241,128
242,120
243,112
244,113
245,120
246,129
247,112
248,106
249,118
250,96
251,108
252,122
253,108
254,104
255,137
256,109
257,98
258,114
259,103
260,101
261,116
262,144
263,117
264,106
265,109
266,127
267,111
268,122
269,113
270,118
271,120
272,105
273,79
274,89
275,103
276,83
277,90
278,99
279,106
280,102
281,93
282,91
283,104
284,99
285,92
286,102
287,84
288,82
289,97
290,98
291,98
292,96
293,109
294,94
295,106
296,108
297,82
298,102
299,91
300,111
301,92
302,92
303,92
304,99
305,87
306,102
307,84
308,99
309,98
310,108
311,108
312,89
313,109
314,100
315,97
316,82
317,91
318,102
319,88
320,122
321,95
322,90
323,103
324,83
325,97
326,106
327,96
328,79
329,93
330,93
331,92
332,99
333,86
334,61
335,89
336,89
337,112
338,88
339,75
340,98
341,91
342,87
343,82
344,76
345,94
346,102
347,85
348,104
349,82
350,76
351,68
352,56
353,83
354,90
355,80
356,70
357,83
358,66
359,70
360,77
361,73
362,87
363,83
364,79
365,74
366,64
367,79
368,70
369,75
370,66
371,67
372,66
373,67
374,79
375,53
376,73
377,63
378,69
379,74
380,86
381,71
382,61
383,58
384,71
385,60
386,65
387,66
388,64
389,73
390,60
391,59
392,65
393,58
394,51
395,53
396,77
397,59
398,65
399,66
400,76
401,52
402,65
403,53
404,63
405,63
406,60
407,63
408,61
409,56
410,52
411,54
412,54
413,54
414,68
415,45
416,57
417,63
418,58
419,57
420,57
421,49
422,67
423,58
424,48
425,64
426,56
427,69
428,68
429,62
430,66
431,62
432,58
433,55
434,75
435,58
436,55
437,59
438,66
439,64
440,60
441,64
442,53
443,54
444,60
445,56
446,75
447,55
448,44
449,61
450,54
451,49
452,52
453,61
454,58
455,59
456,60
457,47
458,64
459,49
460,57
461,53
462,46
463,50
464,58
465,29
466,61
467,50
468,60
469,43
470,41
471,38
472,52
473,38
474,48
475,57
476,39
477,58
478,58
479,44
480,46
481,44
482,49
483,46
484,40
485,54
486,42
487,57
488,46
489,49
490,48
491,45
492,55
493,43
494,36
495,46
496,53
497,60
498,42
499,42
500,55
501,34
502,49
503,60
504,58
505,41
506,39
507,52
508,48
509,32
510,36
511,51
512,37
513,44
514,51
515,54
516,51
517,48
518,65
519,55
520,46
521,57
522,65
523,74
524,78
525,67
526,49
527,59
528,53
529,65
530,64
531,62
