Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,2
71,0
72,1
73,4
74,8
75,9
76,14
77,24
78,27
79,64
80,93
81,112
82,216
83,361
84,555
85,1008
86,1227
87,1227
88,1304
89,1303
90,1291
91,1352
92,1286
93,1322
94,1391
95,1392
96,1365
97,1314
98,1392
99,1400
100,1341
101,1385
102,1382
103,1348
104,1308
105,1342
106,1304
107,1275
108,1362
109,1299
110,1343
111,1255
112,1281
113,1228
114,1322
115,1183
116,1215
117,1238
118,1213
119,1201
120,1274
121,1254
122,1210
123,1227
124,1245
125,1204
126,1253
127,1304
128,1226
129,1262
130,1242
131,1276
132,1241
133,1157
134,1224
135,1203
136,1101
137,1160
138,1143
139,1180
140,1245
141,1175
142,1139
143,1159
144,1100
145,1151
146,1139
147,1127
148,1131
149,1107
150,1154
151,1129
152,1076
153,1076
154,1105
155,999
156,1117
157,1016
158,1054
159,1045
160,1045
161,1000
162,994
163,995
164,986
165,988
166,922
167,993
168,1039
169,974
170,1008
171,969
172,943
173,900
174,916
175,938
176,958
177,928
178,922
179,893
180,905
181,874
182,877
183,919
184,862
185,867
186,861
187,852
188,842
189,826
190,818
191,856
192,803
193,741
194,834
195,798
196,819
197,740
198,748
199,748
200,748
201,747
202,717
203,715
204,751
205,707
206,701
207,679
208,701
209,700
210,717
211,708
212,670
213,657
214,667
215,663
216,642
217,679
218,644
219,641
220,612
221,602
222,624
223,583
224,575
225,610
226,566
227,555
228,610
229,581
230,576
231,564
232,558
233,521
234,551
235,517
236,545
237,485
238,485
239,493
240,484
241,454
242,528
243,483
244,482
245,471
246,531
247,482
248,488
249,453
250,433
251,438
252,452
253,444
254,453
255,436
256,420
257,395
258,429
259,421
260,376
261,439
262,398
263,458
264,403
265,392
266,408
267,424
268,380
269,386
270,393
271,402
272,373
273,337
274,365
275,340
276,361
277,316
278,363
279,352
280,343
281,320
282,318
283,301
284,334
285,316
286,323
287,317
288,267
289,316
290,329
291,316
292,304
293,294
294,315
295,303
296,297
297,291
298,272
299,289
300,272
301,266
302,272
303,247
304,282
305,243
306,262
307,237
308,273
309,247
310,229
311,203
312,242
313,254
314,249
315,250
316,226
317,235
318,230
319,229
320,213
321,210
322,250
323,250
324,204
325,239
326,198
327,201
328,192
329,215
330,226
331,179
332,203
333,198
334,217
335,197
336,175
337,194
338,198
339,192
340,197
341,187
342,206
343,217
344,190
345,252
346,238
347,219
348,231
349,199
350,212
351,208
352,181
353,165
354,171
355,157
356,158
357,166
358,159
359,150
360,173
361,152
362,158
363,171
364,146
365,165
366,154
367,159
368,149
369,139
370,165
371,164
372,175
373,147
374,120
375,126
376,121
377,137
378,151
379,134
380,149
381,114
382,136
383,115
384,133
385,119
386,120
387,130
388,123
389,112
390,134
391,116
392,116
393,126
394,118
395,136
396,123
397,122
398,114
399,168
400,109
401,118
402,114
403,109
404,109
405,118
406,112
407,132
408,115
409,102
410,103
411,95
412,101
413,106
414,95
415,87
416,88
417,101
418,110
419,96
420,92
421,103
422,99
423,101
424,95
425,107
426,116
427,88
428,99
429,93
430,92
431,93
432,121
433,127
434,137
435,116
436,127
437,113
438,99
439,106
440,115
441,93
442,92
443,102
444,78
445,89
446,102
447,109
448,94
449,86
450,76
451,85
452,84
453,97
454,97
455,86
456,77
457,85
458,79
459,67
460,68
461,62
462,86
463,77
464,90
465,79
466,81
467,72
468,79
469,87
470,81
471,66
472,76
473,95
474,71
475,77
476,91
477,71
478,58
479,55
480,98
481,69
482,75
483,80
484,69
485,66
486,62
487,70
488,67
489,78
490,67
491,77
492,71
493,74
494,72
495,71
496,61
497,63
498,89
499,67
500,78
501,66
502,90
503,94
504,84
505,74
506,63
507,56
508,56
509,70
510,65
511,77
