Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,2
46,1
47,0
48,3
49,9
50,16
51,9
52,7
53,9
54,5
55,4
56,5
57,6
58,7
59,11
60,9
61,18
62,69
63,107
64,276
65,759
66,2308
67,6213
68,11270
69,15180
70,16988
71,17885
72,18650
73,19012
74,19593
75,20802
76,21610
77,22854
78,23836
79,25547
80,26856
81,27304
82,28731
83,29578
84,30830
85,32513
86,33830
87,35954
88,37008
89,37669
90,38627
91,39600
92,41336
93,42691
94,43677
95,45261
96,46446
97,47870
98,49338
99,50620
100,51909
101,53584
102,54453
103,56659
104,58709
105,62330
106,63284
107,64030
108,65887
109,67575
110,64549
111,63282
112,62795
113,62984
114,63855
115,63948
116,64234
117,65730
118,66432
119,67154
120,65966
121,66818
122,67741
123,68111
124,66838
125,66104
126,66345
127,64943
128,64212
129,65553
130,66300
131,65202
132,64030
133,62022
134,60327
135,60073
136,58925
137,59188
138,59023
139,58866
140,58637
141,57900
142,56801
143,56817
144,55699
145,55973
146,55449
147,55293
148,55104
149,55105
150,54151
151,54414
152,53115
153,53544
154,52844
155,52598
156,51835
157,52110
158,51588
159,51071
160,50958
161,51045
162,50627
163,50337
164,49393
165,49883
166,49743
167,49676
168,48845
169,48456
170,47814
171,47610
172,48437
173,47500
174,47317
175,47495
176,46902
177,46765
178,46207
179,46592
180,46000
181,46324
182,46026
183,45822
184,45119
185,45491
186,45624
187,45127
188,44478
189,43870
190,43585
191,42829
192,42469
193,42848
194,42762
195,42364
196,42020
197,42130
198,41606
199,41164
200,41280
201,40782
202,40383
203,40575
204,40104
205,39774
206,39482
207,39212
208,39022
209,39207
210,39222
211,38417
212,38365
213,37771
214,37597
215,37839
216,36933
217,36575
218,36430
219,36079
220,36136
221,36022
222,35542
223,35260
224,35463
225,35498
226,34893
227,34391
228,34136
229,33876
230,33531
231,33395
232,32638
233,33064
234,32677
235,32356
236,31804
237,32114
238,31215
239,31961
240,31504
241,30900
242,30829
243,30718
244,30511
245,30213
246,30103
247,29750
248,29793
249,29372
250,29235
251,28886
252,28672
253,28711
254,28425
255,28256
256,28326
257,27971
258,27532
259,27884
260,27307
261,27378
262,26672
263,26927
264,26520
265,26675
266,26431
267,26111
268,25989
269,25825
270,25546
271,26038
272,25644
273,26238
274,28076
275,28239
276,27071
277,25634
278,24738
279,24327
280,23789
281,23741
282,23413
283,23416
284,23176
285,23430
286,23006
287,22604
288,22807
289,22549
290,22820
291,22608
292,22241
293,21623
294,21951
295,22099
296,21721
297,21614
298,21415
299,21194
300,20828
301,21259
302,20598
303,21122
304,20515
305,20442
306,20432
307,20112
308,20003
309,20396
310,20746
311,20745
312,20473
313,20095
314,19425
315,19234
316,18843
317,19066
318,18677
319,18329
320,18816
321,18512
322,18585
323,18364
324,18381
325,18022
326,18459
327,18188
328,17923
329,18331
330,17852
331,17713
332,17785
333,17584
334,17562
335,17678
336,17026
337,16916
338,17091
339,16876
340,16892
341,16632
342,16542
343,16653
344,16462
345,16343
346,16049
347,16152
348,16146
349,15860
350,15989
351,15866
352,15965
353,16126
354,17878
355,22841
356,28699
357,28839
358,23163
359,18318
360,17770
361,18881
362,18217
363,16215
364,14728
365,14052
366,13622
367,13603
368,13547
369,13501
370,13220
371,13102
372,12957
373,13193
374,13097
375,13050
376,12772
377,12844
378,12860
379,12646
380,12646
381,12595
382,12711
383,12210
384,12442
385,12429
386,12428
387,12185
388,12257
389,12212
390,11966
391,11858
392,11721
393,11589
394,11707
395,11433
396,11355
397,11393
398,11274
399,11151
400,11176
401,11013
402,11253
403,11314
404,11909
405,12200
406,12080
407,11595
408,10941
409,10839
410,10549
411,10707
412,10623
413,10574
414,10726
415,10680
416,11029
417,10986
418,10403
419,10419
420,10207
421,10180
422,9883
423,9920
424,9919
425,9934
426,9760
427,9710
428,9756
429,9619
430,9587
431,9586
432,9612
433,9506
434,9583
435,9388
436,9346
437,9370
438,9220
