Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,1
78,4
79,5
80,19
81,26
82,91
83,227
84,424
85,788
86,1023
87,1115
88,1087
89,1138
90,1069
91,1168
92,1121
93,1097
94,1155
95,1135
96,1179
97,1196
98,1143
99,1222
100,1247
101,1188
102,1248
103,1197
104,1119
105,1115
106,1172
107,1128
108,1149
109,1116
110,1147
111,1067
112,1090
113,1048
114,1148
115,1062
116,972
117,1070
118,1088
119,1113
120,1101
121,1047
122,1069
123,1004
124,1050
125,1027
126,1174
127,1012
128,1094
129,1050
130,1090
131,1037
132,1100
133,1017
134,1003
135,1075
136,1013
137,1039
138,1082
139,1060
140,973
141,1048
142,1025
143,967
144,954
145,947
146,1031
147,988
148,956
149,972
150,1013
151,981
152,1003
153,977
154,924
155,925
156,930
157,919
158,942
159,925
160,849
161,961
162,924
163,868
164,901
165,867
166,913
167,872
168,830
169,839
170,855
171,836
172,808
173,816
174,855
175,885
176,884
177,788
178,796
179,801
180,801
181,726
182,786
183,813
184,785
185,751
186,745
187,744
188,798
189,783
190,736
191,719
192,676
193,698
194,728
195,695
196,688
197,669
198,673
199,668
200,665
201,672
202,696
203,639
204,648
205,636
206,650
207,653
208,632
209,631
210,627
211,614
212,608
213,574
214,591
215,572
216,583
217,588
218,547
219,555
220,534
221,558
222,553
223,530
224,533
225,490
226,507
227,488
228,528
229,514
230,494
231,482
232,472
233,444
234,523
235,469
236,469
237,450
238,462
239,438
240,471
241,417
242,421
243,459
244,406
245,400
246,405
247,427
248,420
249,420
250,427
251,365
252,397
253,355
254,389
255,407
256,405
257,381
258,360
259,376
260,359
261,373
262,379
263,368
264,331
265,356
266,357
267,353
268,337
269,351
270,320
271,333
272,316
273,307
274,313
275,316
276,300
277,320
278,304
279,303
280,287
281,275
282,288
283,286
284,281
285,289
286,265
287,248
288,276
289,267
290,278
291,289
292,259
293,240
294,237
295,231
296,240
297,255
298,261
299,226
300,272
301,240
302,246
303,200
304,212
305,216
306,232
307,213
308,230
309,222
310,222
311,228
312,209
313,209
314,199
315,195
316,213
317,180
318,222
319,198
320,222
321,177
322,208
323,200
324,186
325,179
326,182
327,178
328,196
329,159
330,163
331,186
332,166
333,151
334,177
335,166
336,177
337,175
338,185
339,160
340,160
341,148
342,156
343,191
344,185
345,206
346,199
347,188
348,154
349,157
350,167
351,175
352,158
353,132
354,131
355,151
356,120
357,136
358,134
359,127
360,132
361,140
362,127
363,112
364,137
365,122
366,129
367,130
368,136
369,109
370,123
371,100
372,103
373,119
374,112
375,124
376,114
377,110
378,107
379,104
380,121
381,96
382,117
383,108
384,112
385,102
386,88
387,101
388,95
389,89
390,99
391,102
392,88
393,102
394,121
395,96
396,111
397,86
398,97
399,99
400,82
401,106
402,91
403,113
404,104
405,94
406,97
407,101
408,83
409,96
410,91
411,75
412,87
413,101
414,72
415,75
416,85
417,88
418,92
419,88
420,86
421,97
422,83
423,71
424,79
425,88
426,61
427,95
428,68
429,90
430,79
431,83
432,98
433,106
434,112
435,69
436,78
437,92
438,78
439,77
440,94
441,90
442,89
443,97
444,114
445,99
446,93
447,90
448,79
449,67
450,71
451,73
452,82
453,83
454,65
455,66
456,62
457,75
458,76
459,63
460,63
461,52
462,65
463,70
464,52
465,66
466,78
467,66
468,56
469,51
470,71
471,64
472,53
473,74
474,62
475,71
476,63
477,64
478,66
479,46
480,57
481,67
482,61
483,74
484,72
485,56
486,59
487,72
488,60
489,54
490,56
491,66
492,51
493,47
494,56
495,76
496,62
497,61
498,60
499,65
500,87
501,80
502,70
503,49
504,52
505,53
506,46
507,54
508,67
509,48
510,57
511,41
512,44
513,61
514,45
515,59
516,43
