Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,2
49,2
50,0
51,1
52,0
53,4
54,2
55,0
56,0
57,1
58,2
59,5
60,6
61,7
62,4
63,12
64,13
65,21
66,24
67,30
68,52
69,55
70,86
71,97
72,142
73,165
74,286
75,493
76,730
77,788
78,894
79,996
80,1158
81,1196
82,1333
83,1497
84,1892
85,2507
86,2914
87,2934
88,2947
89,2968
90,3009
91,2853
92,2993
93,2946
94,2888
95,2824
96,2830
97,2822
98,2811
99,2828
100,2800
101,2791
102,2828
103,2783
104,2799
105,2673
106,2679
107,2657
108,2741
109,2647
110,2649
111,2738
112,2707
113,2755
114,2633
115,2643
116,2674
117,2746
118,2711
119,2878
120,2968
121,2855
122,3039
123,3161
124,3204
125,3268
126,3567
127,3835
128,4206
129,4450
130,4262
131,4162
132,4134
133,4142
134,4222
135,4202
136,4091
137,3571
138,3157
139,2779
140,2568
141,2387
142,2260
143,2102
144,2126
145,1983
146,1995
147,1922
148,1912
149,1925
150,1861
151,1897
152,1859
153,1891
154,1936
155,1762
156,1890
157,1768
158,1780
159,1759
160,1877
161,1776
162,1821
163,1874
164,1947
165,1939
166,1970
167,2170
168,2210
169,2225
170,2319
171,2167
172,2054
173,1790
174,1731
175,1657
176,1547
177,1513
178,1559
179,1437
180,1553
181,1433
182,1432
183,1403
184,1396
185,1313
186,1408
187,1338
188,1394
189,1312
190,1402
191,1333
192,1360
193,1299
194,1425
195,1363
196,1197
197,1316
198,1283
199,1365
200,1329
201,1236
202,1315
203,1316
204,1362
205,1277
206,1253
207,1287
208,1258
209,1222
210,1211
211,1145
212,1230
213,1209
214,1115
215,1194
216,1182
217,1204
218,1221
219,1168
220,1134
221,1050
222,1119
223,1064
224,1084
225,1018
226,1097
227,1034
228,1101
229,1075
230,1120
231,1017
232,1053
233,1017
234,1016
235,1051
236,1082
237,1047
238,1088
239,1025
240,1044
241,1060
242,974
243,970
244,942
245,973
246,939
247,999
248,982
249,938
250,965
251,901
252,957
253,949
254,980
255,884
256,924
257,880
258,896
259,898
260,894
261,880
262,914
263,876
264,859
265,887
266,883
267,828
268,857
269,848
270,858
271,783
272,831
273,787
274,873
275,779
276,846
277,776
278,856
279,784
280,773
281,796
282,875
283,764
284,793
285,742
286,742
287,791
288,747
289,785
290,846
291,819
292,776
293,739
294,810
295,781
296,819
297,909
298,889
299,952
300,855
301,840
302,724
303,764
304,685
305,719
306,647
307,658
308,664
309,653
310,613
311,643
312,665
313,606
314,613
315,640
316,618
317,637
318,623
319,588
320,585
321,613
322,620
323,612
324,521
325,633
326,575
327,615
328,539
329,618
330,598
331,617
332,616
333,567
334,521
335,553
336,585
337,560
338,563
339,615
340,519
341,575
342,581
343,574
344,603
345,609
346,599
347,575
348,578
349,532
350,595
351,511
352,538
353,529
354,511
355,515
356,538
357,547
358,526
359,494
360,498
361,481
362,511
363,508
364,499
365,473
366,509
367,525
368,547
369,448
370,533
371,474
372,506
373,472
374,491
375,500
376,467
377,489
378,453
379,442
380,489
381,471
382,459
383,452
384,444
385,455
386,508
387,452
388,452
389,472
390,400
391,454
392,425
393,456
394,468
395,456
396,417
397,427
398,416
399,404
400,405
401,400
402,436
403,403
404,449
405,436
406,443
407,393
408,456
409,425
410,417
411,376
412,421
413,402
414,390
415,418
416,407
417,414
418,388
419,404
420,383
421,400
422,435
423,359
424,389
425,404
426,380
427,413
428,379
429,366
430,419
431,395
432,376
433,384
434,422
435,417
436,391
437,410
438,397
439,391
440,445
441,421
442,425
443,382
444,391
445,390
446,378
447,386
448,393
449,344
450,396
451,371
452,387
453,400
454,386
455,377
456,410
457,420
458,525
459,559
460,565
461,577
462,564
463,476
464,428
465,395
466,361
467,374
468,350
469,387
470,342
471,345
472,341
473,331
474,321
475,350
476,365
477,346
478,332
479,327
480,359
481,320
482,310
483,295
484,319
485,319
486,283
487,349
488,353
489,295
490,348
